"Наименование продукции","ОКПД","2010 год","2011 год","2012 год","2013 год","2014 год","2015 год"
"Рыба живая, свежая или охлажденная, т","05.00.1","703","294","*","3556.2","*","*"
"Мясо и субпродукты пищевые убойных животных, тыс. т","37210","1.5","2","0.9","0.2","0.1","0.1"
"Мясо и субпродукты пищевые домашней птицы, тыс. т","37240","14.7","23.9","26.7","*","*","*"
"Полуфабрикаты мясные (мясосодержащие) охлажденные, тыс. т","15.12.13.210","2.9","3.1","3.8","3.9","7.1","6.1"
"Полуфабрикаты мясные (мясосодержащие) подмороженные и замороженные, тыс. т","15.12.13.220","8","7.7","6.4","3.5","3.6","2.9"
"Колбасные изделия, тыс. т","15.13.12.101","16.1","15.8","16.4","16.3","15.9","13.8"
"Рыба и продукты рыбные переработанные и консервированные, тыс. Т","15.20.1","120.6","116.9","122.3","93.59999999999999","103.1","107.5"
"Пресервы рыбные, туб","15.20.14.201","2871.9","3050.7","2763.2","2213","2266.4","1801.7"
"Масло сливочное и пасты масляные, тыс. т","15.51.30","1.1","1.3","1.4","1.8","1.8","1.9"
"Цельномолочная продукция (в пересчете на молоко), тыс. т","15.51.11.101","55.5","54.3","61.6","60.3","59.3","60.3"
"Сыры и продукты сырные, т","15.51.40.001","171.4","149.8","146.2","152.9","118.3","166.9"
"Хлеб и хлебобулочные изделия, тыс. т","15.82.11.001","60.1","59.2","59","56.9","54.5","51.3"
"Кондитерские изделия, тыс. т","15.81.12.001","3","3.4","3.4","3.3","3.4","3.5"
"Мука из зерновых культур, овощных и других растительных культур; смеси из них, тыс. т","15.61.2","*","*","*","*","*","*"
"Напитки безалкогольные, тыс. дкл","15.98.12.001","1239.4","1055","632","670","585","515"
"Водка, тыс. дкл","15.91.10.103","*","*","*","*","*","*"
"Пиво, кроме отходов пивоварения, тыс. дкл","15.96.10","193","263.9","314.3","290.3","341.1","288.7"
"Трикотажные изделия, тыс. шт.","17.72.10.101","48.2","71.09999999999999","98.59999999999999","67.8","76","70.09999999999999"
"Костюмы, тыс. шт.","18.22.22.101","64.7","70.90000000000001","*","40","41.8","*"
"Платья, сарафаны женские или для девочек, тыс. шт.","18.22.34.110","3.6","3.1","3.7","5","4.5","2.9"
"Брюки, бриджи, шорты, тыс. шт.","18.22.24.101","29.9","14.1","19.3","20.7","6.7","15.6"
"Юбки и юбки-брюки женские или для девочек, тыс. шт.","18.22.34.120","3.2","0.7","0.7","1.7","1.9","1.2"
"Блузки, рубашки и батники женские или для девочек, кроме трикотажных, тыс. шт.","18.23.23","1.2","0.7","0.6","0.6","0.6","1"
"Куртки теплые, тыс. шт.","18.22.21.103","13","15.4","15.4","7.6","4.8","6.7"
"Рубашки мужские или для мальчиков, кроме трикотажных, тыс. шт.","18.23.21","8","6.2","13.5","8.699999999999999","6","5.6"
"Пальто женские с верхом из натурального меха, шт.","18.30.12.112","*","*","*","*","32","*"
"Обувь, тыс. пар","19.30.01","*","*","*","*","*","*"
"Древесина необработанная, млн. плотн. м3","36893","8.5","9.199999999999999","9.1","8.9","8.699999999999999","8.199999999999999"
"Пиломатериалы (кроме шпал железнодорожных и трамвайных деревянных непропитанных),  млн. м3","20.10.10.005","1.6","1.8","1.6","1.5","1.5","1.6"
"Щепа технологическая для производства целлюлозы и древесной массы, тыс. плотн. м3","20.10.23.110","859.4","797.8","719.9","618.1","599.6","583.5"
"Гранулы топливные (пеллеты), тыс. т","20.10.23.150","58","60.5","68.2","72.90000000000001","133.3","182.7"
"Фанера клееная, состоящая только из листов древесины, тыс. м3","20.20.11","*","*","*","*","*","*"
"Плиты древесноволокнистые из древесины или других одревесневших материалов, млн. усл. м2","20.20.14","*","*","*","*","-","-"
"Блоки оконные в сборе (комплектно), тыс. м2","20.30.11.110","1.5","0.9","0.4","0.6","*","*"
"Блоки дверные в сборе (комплектно), тыс. м2","20.30.11.510","12.6","13.6","3.7","1.5","1.3","4.9"
"Целлюлоза древесная и целлюлоза из прочих волокнистых материалов, млн. т","37216","2.1","2.1","2.2","2","*","*"
"Бумага, тыс. т","37246","286.2","305.6","319.6","419.2","*","*"
"Картон, тыс. т","37611","*","*","*","*","*","*"
"Тетради школьные, млн. шт.","22.22.20.102","*","*","*","*","*","*"
"Газеты (экземпляров, тираж условный /в 4-х полосном исчислении формата А2/), млн. шт.","22.13.11.101","133.5","133.9","134","132.6","118.8","100.6"
"Пластмассы в первичных формах, т","24.16","6308.1","6791.9","6492.4","6486.3","6063.3","6865.2"
"Материалы лакокрасочные и аналогичные для нанесения покрытий, краски и мастики полиграфические, т","24.30","*","*","*","*","*","*"
"Материалы строительные нерудные, тыс. м3","14.21.11.001","1756.5","3585","3244.5","4260.9","4514","2694"
"Портландцемент, цемент глиноземистый, цемент шлаковый и аналогичные цементы гидравлические, тыс. т","26.51.12","*","*","*","*","*","-"
"Кирпич строительный (включая камни) из цемента, бетона или искусственного камня, млн. усл. кирпичей","26.61.11.110","20.3","*","19.2","*","*","*"
"Блоки стеновые крупные (включая блоки стен подвалов) из бетона, млн. усл. Кирпичей","26.61.11.140","2.2","1.6","4.4","5.5","4.3","2.2"
"Конструкции и детали сборные железобетонные, тыс. м3","26.61.20","104.1","119.5","137.1","134","132.4","83.5"
"Столы кухонные, для столовой и гостиной, тыс. шт.","36.13.10.001","4.3","12.5","10.2","8.5","4.7","2.3"
"Стулья – всего, тыс. шт.","36.11.11.001","11.1","11.6","9.199999999999999","4.6","4.5","3.2"
"Шкафы кухонные, для спальни, столовой и гостиной, тыс. шт.","36.14.12.001","4.3","12.7","17.7","20.3","7.7","3.6"
"Диваны-кровати, тыс. шт.","36.11.12.001","2.6","3.3","3.1","1.8","1.8","1"
"Кресла, тыс. шт.","36.11.11.002","0.4","0.9","0.3","0.3","*","*"
"Электроэнергия, млрд. кВт?ч","40.11.10.101","6.9","6.5","6.7","6.6","6.6","6.4"
"Тепловая энергия, млн. Гкал","40.30.10.110","22.1","21","21.7","20.3","20.4","19.9"
